date,id,event_id,start,end,region_x,region_y
20141101,20001003001,158-0_158-0,2014-11-01T18:51:55.000,2014-11-01T18:53:55.000,888.2316040553338,-254.28871978637184
20141101,20001003001,679-0_,2014-11-01T20:36:07.000,2014-11-01T20:38:07.000,1003.1457045601807,-102.74766401580031
20141101,20001003001,681-0_,2014-11-01T20:36:37.000,2014-11-01T20:38:37.000,984.4645223108004,-367.48247587614554
20150901,20102002001,105-0_106-0,2015-09-01T04:16:00.000,2015-09-01T04:20:36.000,843.9864518726461,-244.21080773936305
20150901,20102003001,128-0_,2015-09-01T09:03:57.000,2015-09-01T09:07:09.000,989.1348193992884,-55.18387439277962
20150901,20102003001,134-0_,2015-09-01T09:04:21.000,2015-09-01T09:06:21.000,1106.9980210261194,-116.26679135565247
20150901,20102003001,137-0_,2015-09-01T09:05:09.000,2015-09-01T09:07:09.000,1052.183728874681,96.35654781646518
20150901,20102003001,143-0_,2015-09-01T09:06:57.000,2015-09-01T09:10:45.000,832.6793448032123,-215.08256344160532
20150901,20102003001,27-0_25-0,2015-09-01T08:43:39.000,2015-09-01T08:45:39.000,894.2538546507859,9.83233702627481
20150901,20102003001,30-0_31-0,2015-09-01T08:43:45.000,2015-09-01T08:45:45.000,900.8906188467303,-482.52099217505634
20150901,20102004001,142-0_,2015-09-01T10:43:30.000,2015-09-01T10:47:30.000,827.5174029514534,-210.28931942349985
20150901,20102004001,29-0_,2015-09-01T10:20:24.000,2015-09-01T10:22:24.000,960.1298002052484,-159.8981194223302
20150901,20102004001,29-1_,2015-09-01T10:20:18.000,2015-09-01T10:22:18.000,931.9850630673465,-435.57153041211353
20150901,20102005001,146-0_,2015-09-02T02:51:43.000,2015-09-02T02:54:55.000,836.9809622165766,-367.4836360385028
20150901,20102005001,163-0_163-0,2015-09-02T02:54:19.000,2015-09-02T02:56:19.000,1082.7863457794438,173.2941403266536
20150901,20102005001,31-0_,2015-09-02T02:27:55.000,2015-09-02T02:29:55.000,1017.4023852209123,69.44068555540841
20150901,20102006001,121-0_,2015-09-02T04:22:52.000,2015-09-02T04:24:52.000,888.9690225771159,-28.63668459829897
20150901,20102006001,146-0_145-0,2015-09-02T04:28:28.000,2015-09-02T04:31:40.000,836.9809622165766,-367.4836360385028
20150901,20102006001,163-0_163-0,2015-09-02T04:31:04.000,2015-09-02T04:33:04.000,1052.1837288747479,91.93201305760157
20150901,20102006001,28-0_27-0,2015-09-02T04:04:22.000,2015-09-02T04:06:22.000,927.4376568395145,45.351621617852174
20150901,20102006001,33-0_,2015-09-02T04:05:04.000,2015-09-02T04:07:04.000,930.0186172418836,51.251016435521095
20150901,20102007001,140-0_143-0,2015-09-02T09:18:05.000,2015-09-02T09:21:53.000,836.9809622165546,-318.3220296843888
20150901,20102007001,163-0_163-0,2015-09-02T09:21:17.000,2015-09-02T09:23:17.000,1065.088452572704,104.46816109575826
20150901,20102007001,167-0_,2015-09-02T09:22:11.000,2015-09-02T09:24:11.000,949.1914567737072,-366.8682520553134
20150901,20102007001,25-0_29-0,2015-09-02T08:54:17.000,2015-09-02T08:56:17.000,892.1645025755798,-485.47076589979105
20150901,20102007001,32-0_,2015-09-02T08:55:05.000,2015-09-02T08:57:05.000,947.2250124427686,52.35713355878399
20150901,20102007001,46-0_45-0,2015-09-02T08:57:53.000,2015-09-02T08:59:53.000,935.9179542095079,-383.3374552371278
20150901,20102008001,137-0_,2015-09-02T10:53:38.000,2015-09-02T10:58:38.000,886.1422514535859,-121.67517732996107
20150901,20102008001,142-0_,2015-09-02T10:53:50.000,2015-09-02T10:55:50.000,931.493451626799,-348.3099300302718
20150901,20102008001,162-0_,2015-09-02T10:58:08.000,2015-09-02T11:00:08.000,1030.3071308890658,103.36211634278402
20150901,20102008001,165-0_163-0,2015-09-02T10:58:38.000,2015-09-02T11:00:38.000,989.3806244810886,-214.59022644977097
20150901,20102008001,25-0_25-0,2015-09-02T10:31:08.000,2015-09-02T10:33:08.000,930.2644229793411,46.45775582639276
20160219,20102011001,171-0_171-0,2016-02-19T19:28:39.000,2016-02-19T19:30:39.000,1023.5475032052329,109.26151666866575
20160219,20102011001,184-0_186-0,2016-02-19T19:31:15.000,2016-02-19T19:33:15.000,1016.4191661755247,105.82022775507097
20160219,20102011001,192-0_,2016-02-19T19:32:27.000,2016-02-19T19:34:27.000,1023.1787961773177,101.51857674099362
20160219,20102011001,198-0_201-0,2016-02-19T19:34:03.000,2016-02-19T19:36:03.000,1029.5697170671524,97.46273541483424
20160219,20102011001,61-0_60-0,2016-02-19T19:06:27.000,2016-02-19T19:08:27.000,1101.3445361104584,117.37294060413991
20160219,20102012001,151-0_,2016-02-19T21:01:16.000,2016-02-19T21:03:16.000,1048.8653700169762,144.65772414374703
20160219,20102012001,159-0_158-0,2016-02-19T21:02:52.000,2016-02-19T21:04:52.000,1029.0781078379725,122.53511244014047
20160219,20102012001,167-0_,2016-02-19T21:04:10.000,2016-02-19T21:06:10.000,1027.7261823974393,119.3396176410081
20160219,20102012001,194-0_194-0,2016-02-19T21:09:40.000,2016-02-19T21:11:40.000,1029.201010146306,120.19993996226759
20160219,20102012001,202-0_,2016-02-19T21:11:10.000,2016-02-19T21:13:10.000,1072.954184838372,132.12146497121316
20160219,20102012001,25-0_,2016-02-19T20:36:22.000,2016-02-19T20:38:22.000,1119.1652981264588,114.42320153873463
20160219,20102012001,38-0_,2016-02-19T20:38:22.000,2016-02-19T20:40:22.000,1114.2492275037125,117.12709409485065
